Stock	Year	Spawners	Recruits
Stellako	1958	0.072273	0.339304
Stellako	1959	0.029937	0.541403
Stellako	1960	0.021686	0.164495
Stellako	1961	0.018044	0.147114
Stellako	1962	0.061581	0.589405
Stellako	1963	0.041872	0.726949
Stellako	1964	0.022718	0.177643
Stellako	1965	0.018136	0.243472
Stellako	1966	0.044532	0.359073
Stellako	1967	0.041535	0.550236
Stellako	1968	0.016161	0.129737
Stellako	1969	0.020479	0.253114
Stellako	1970	0.051509	0.232938
Stellako	1971	0.032467	0.508759
Stellako	1972	0.01368	0.75601
Stellako	1973	0.025629	0.08589
Stellako	1974	0.026727	0.301286
Stellako	1975	0.020147	1.897353
Stellako	1976	0.019938	0.244207
Stellako	1977	0.015424	0.265626
Stellako	1978	0.023718	0.436545
Stellako	1979	0.068451	0.623893
Stellako	1980	0.063865	0.755199
Stellako	1981	0.010894	0.28587
Stellako	1982	0.032528	0.355873
Stellako	1983	0.152583	1.256351
Stellako	1984	0.028477	1.011019
Stellako	1985	0.01203	0.128655
Stellako	1986	0.034888	0.561822
Stellako	1987	0.061357	0.435662
Stellako	1988	0.032672	0.991341
Stellako	1989	0.021969	0.222259
Stellako	1990	0.044564	0.950691
Stellako	1991	0.098179	0.33631
Stellako	1992	0.200537	0.868186
Stellako	1993	0.015903	0.309831
Stellako	1994	0.056537	0.682058
Stellako	1995	0.054349	0.183884
Stellako	1996	0.055138	0.811978
Stellako	1997	0.042861	0.125173
Stellako	1998	0.063584	0.637924
Stellako	1999	0.041135	0.174462
Stellako	2000	0.167624	0.717671
Stellako	2001	0.023241	0.287128
Stellako	2002	0.096961	0.248328
Stellako	2003	0.06608	0.049127
Stellako	2004	0.195386	0.24575
Stellako	2005	0.06159	0.011499
Stellako	2006	0.177618	0.470859
Stellako	2007	0.043829	0.138241
Stellako	2008	0.053755	0.274481
Stellako	2009	0.102247	0.202165
Stellako	2010	0.079834	1.629887
Stellako	2011	0.019626	0.054886
Stellako	2012	0.073798	0.04937
Stellako	2013	0.01577	0.147454
Stellako	2014	0.109383	0.392081
Stellako	2015	0.025856	0.073885
Stellako	2016	0.050572	0.042125
Stellako	2017	0.05413	0.15162
Stellako	2018	0.240406	0.128932
Bowron	1952	0.012826	0.043296
Bowron	1953	0.010744	0.075576
Bowron	1954	0.007352	0.066264
Bowron	1955	0.010254	0.096912
Bowron	1956	0.008632	0.037746
Bowron	1957	0.005741	0.041966
Bowron	1958	0.004566	0.018112
Bowron	1959	0.004472	0.061854
Bowron	1960	0.003639	0.017729
Bowron	1961	0.006416	0.028148
Bowron	1962	0.008308	0.021321
Bowron	1963	0.014614	0.214288
Bowron	1964	0.003525	0.027507
Bowron	1965	0.00368	0.017799
Bowron	1966	0.003219	0.022249
Bowron	1967	0.011467	0.20637
Bowron	1968	0.00069	0.043543
Bowron	1969	0.00117	0.017211
Bowron	1970	0.001151	0.015826
Bowron	1971	0.013991	0.124507
Bowron	1972	0.00171	0.016971
Bowron	1973	0.001936	0.010662
Bowron	1974	0.000497	0.017431
Bowron	1975	0.010761	0.122376
Bowron	1976	0.001969	0.007112
Bowron	1977	0.002012	0.015396
Bowron	1978	0.001046	0.040627
Bowron	1979	0.014735	0.029984
Bowron	1980	0.001069	0.04517
Bowron	1981	0.001214	0.016532
Bowron	1982	0.001678	0.005277
Bowron	1983	0.016178	0.038132
Bowron	1984	0.001376	0.050591
Bowron	1985	0.000562	0.019177
Bowron	1986	0.00099	0.021198
Bowron	1987	0.003484	0.02246
Bowron	1988	0.004909	0.01305
Bowron	1989	0.00303	0.012842
Bowron	1990	0.001396	0.03113
Bowron	1991	0.00566	0.048625
Bowron	1992	0.007405	0.012869
Bowron	1993	0.001367	0.020467
Bowron	1994	0.005065	0.010849
Bowron	1995	0.00246	0.027351
Bowron	1996	0.001117	0.026776
Bowron	1997	0.000592	0.005024
Bowron	1998	0.001845	0.017001
Bowron	1999	0.013467	0.019734
Bowron	2000	0.004055	0.025283
Bowron	2001	0.002119	0.006825
Bowron	2002	0.00283	0.007674
Bowron	2003	0.003295	0.003792
Bowron	2004	0.00672	0.00609
Bowron	2005	0.002752	0.002259
Bowron	2006	0.004505	0.017435
Bowron	2007	0.003038	0.008365
Bowron	2008	0.000458	0.000782
Bowron	2009	0.000866	0.006112
Bowron	2010	0.000636	0.024716
Bowron	2011	0.001075	0.00528
Bowron	2012	0.000275	0.000186
Bowron	2013	0.000843	0.000505
Bowron	2014	0.004095	0.019505
Bowron	2015	0.002037	0.000106
Bowron	2016	0.00003	0.001261
Bowron	2017	0.001924	0.004557
Bowron	2018	0.006252	0.0061
Raft	1952	0.005524	0.051177
Raft	1953	0.002109	0.032124
Raft	1954	0.001917	0.050257
Raft	1955	0.003364	0.060357
Raft	1956	0.005116	0.025364
Raft	1957	0.0036	0.020943
Raft	1958	0.005352	0.023103
Raft	1959	0.002905	0.023584
Raft	1960	0.005179	0.016764
Raft	1961	0.003314	0.024293
Raft	1962	0.006235	0.040549
Raft	1963	0.005232	0.009355
Raft	1964	0.002252	0.048511
Raft	1965	0.003014	0.020553
Raft	1966	0.004197	0.023219
Raft	1967	0.002693	0.009621
Raft	1968	0.002666	0.106299
Raft	1969	0.002669	0.013989
Raft	1970	0.002666	0.008823
Raft	1971	0.000358	0.011686
Raft	1972	0.003455	0.057734
Raft	1973	0.002577	0.009339
Raft	1974	0.001205	0.012017
Raft	1975	0.000223	0.006429
Raft	1976	0.004507	0.01987
Raft	1977	0.001345	0.005917
Raft	1978	0.001479	0.01845
Raft	1979	0.001391	0.003039
Raft	1980	0.003976	0.051611
Raft	1981	0.000198	0.00861
Raft	1982	0.001343	0.003742
Raft	1983	0.000693	0.004051
Raft	1984	0.002056	0.04673
Raft	1985	0.000312	0.004421
Raft	1986	0.001533	0.003013
Raft	1987	0.001821	0.00382
Raft	1988	0.006701	0.050087
Raft	1989	0.001922	0.011292
Raft	1990	0.00108	0.002544
Raft	1991	0.000723	0.001461
Raft	1992	0.009207	0.067345
Raft	1993	0.000925	0.033113
Raft	1994	0.000412	0.027483
Raft	1995	0.000264	0.027229
Raft	1996	0.004112	0.111999
Raft	1997	0.002934	0.051264
Raft	1998	0.0008	0.01623
Raft	1999	0.000682	0.061057
Raft	2000	0.021381	0.115343
Raft	2001	0.002367	0.0957
Raft	2002	0.003585	0.042788
Raft	2003	0.003499	0.008369
Raft	2004	0.027668	0.047985
Raft	2005	0.016025	0.008895
Raft	2006	0.008402	0.016829
Raft	2007	0.00489	0.010715
Raft	2008	0.003244	0.018576
Raft	2009	0.016967	0.035109
Raft	2010	0.003442	0.043534
Raft	2011	0.008064	0.02326
Raft	2012	0.003562	0.021033
Raft	2013	0.006039	0.005307
Raft	2014	0.002389	0.012122
Raft	2015	0.00443	0.001612
Raft	2016	0.00171	0.008342
Raft	2017	0.009045	0.006667
Raft	2018	0.009471	0.006253
Quesnel	1952	0.000048	0.000562
Quesnel	1953	0.01921	0.604343
Quesnel	1954	0.000264	0.010692
Quesnel	1955	0.000009	0.00018
Quesnel	1956	0.000051	0.001115
Quesnel	1957	0.047564	0.989724
Quesnel	1958	0.000146	0.003385
Quesnel	1959	0.00003	0.000165
Quesnel	1960	0.000039	0.001469
Quesnel	1961	0.132852	1.196316
Quesnel	1962	0.001269	0.007257
Quesnel	1963	0.000029	0.000956
Quesnel	1964	0.000123	0.002812
Quesnel	1965	0.07	1.652928
Quesnel	1966	0.000566	0.007434
Quesnel	1967	0.00004	0.00175
Quesnel	1968	0.000159	0.000428
Quesnel	1969	0.105393	1.63435
Quesnel	1970	0.00104	0.020339
Quesnel	1971	0.000024	0.000747
Quesnel	1972	0.000333	0.000856
Quesnel	1973	0.076565	2.330793
Quesnel	1974	0.000388	0.030874
Quesnel	1975	0.000016	0.001865
