"popID" "N0" "NT"
"1" 1 109 104
"2" 2 110 38
"3" 3 84 148
"4" 4 78 123
"5" 5 86 79
"6" 6 63 54
"7" 7 113 135
"8" 8 103 47
"9" 9 99 199
"10" 10 116 196
